movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
14,Nixon (1995),Drama
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama
36,Dead Man Walking (1995),Crime|Drama
39,Clueless (1995),Comedy|Romance
41,Richard III (1995),Drama|War
44,Mortal Kombat (1995),Action|Adventure|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
62,Mr. Holland's Opus (1995),Drama
65,Bio-Dome (1996),Comedy
69,Friday (1995),Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
74,Bed of Roses (1996),Drama|Romance
76,Screamers (1995),Action|Sci-Fi|Thriller
79,"Juror, The (1996)",Drama|Thriller
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
86,White Squall (1996),Action|Adventure|Drama
88,Black Sheep (1996),Comedy
89,Nick of Time (1995),Action|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance
99,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,City Hall (1996),Drama|Thriller
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104,Happy Gilmore (1996),Comedy
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
110,Braveheart (1995),Action|Drama|War
111,Taxi Driver (1976),Crime|Drama|Thriller
121,"Boys of St. Vincent, The (1992)",Drama
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
134,Sonic Outlaws (1995),Documentary
139,Target (1995),Action|Drama
140,Up Close and Personal (1996),Drama|Romance
143,Gospa (1995),Drama
144,"Brothers McMullen, The (1995)",Comedy
146,"Amazing Panda Adventure, The (1995)",Adventure|Children
149,Amateur (1994),Crime|Drama|Thriller
150,Apollo 13 (1995),Adventure|Drama|IMAX
152,"Addiction, The (1995)",Drama|Horror
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
157,Canadian Bacon (1995),Comedy|War
159,Clockers (1995),Crime|Drama|Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War
162,Crumb (1994),Documentary
163,Desperado (1995),Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
167,Feast of July (1995),Drama
168,First Knight (1995),Action|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
171,Jeffrey (1995),Comedy|Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
174,Jury Duty (1995),Comedy
179,Mad Love (1995),Drama|Romance
184,Nadja (1994),Drama
185,"Net, The (1995)",Action|Crime|Thriller
192,"Show, The (1995)",Documentary
193,Showgirls (1995),Drama
194,Smoke (1995),Comedy|Drama
195,Something to Talk About (1995),Comedy|Drama|Romance
197,"Stars Fell on Henrietta, The (1995)",Drama
202,Total Eclipse (1995),Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
206,Unzipped (1995),Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance
214,Before the Rain (Pred dozhdot) (1994),Drama|War
215,Before Sunrise (1995),Drama|Romance
217,"Babysitter, The (1995)",Drama|Thriller
220,Castle Freak (1995),Horror
222,Circle of Friends (1995),Drama|Romance
223,Clerks (1994),Comedy
225,Disclosure (1994),Drama|Thriller
228,Destiny Turns on the Radio (1995),Comedy
229,Death and the Maiden (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233,Exotica (1994),Drama
234,Exit to Eden (1994),Comedy
235,Ed Wood (1994),Comedy|Drama
237,Forget Paris (1995),Comedy|Romance
244,Gumby: The Movie (1995),Animation|Children
245,"Glass Shield, The (1994)",Crime|Drama
246,Hoop Dreams (1994),Documentary
247,Heavenly Creatures (1994),Crime|Drama
250,Heavyweights (Heavy Weights) (1995),Children|Comedy
251,"Hunted, The (1995)",Action
254,Jefferson in Paris (1995),Drama
255,"Jerky Boys, The (1995)",Comedy
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
259,Kiss of Death (1995),Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
263,Ladybird Ladybird (1994),Drama
264,"Enfer, L' (1994)",Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
270,Love Affair (1994),Drama|Romance
271,Losing Isaiah (1995),Drama
274,Man of the House (1995),Comedy
275,Mixed Nuts (1994),Comedy
278,Miami Rhapsody (1995),Comedy
279,My Family (1995),Drama
280,Murder in the First (1995),Drama|Thriller
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
287,Nina Takes a Lover (1994),Comedy|Romance
288,Natural Born Killers (1994),Action|Crime|Thriller
290,Once Were Warriors (1994),Crime|Drama
291,Poison Ivy II (1996),Drama|Thriller
294,"Perez Family, The (1995)",Comedy|Romance
298,Pushing Hands (Tui shou) (1992),Drama
301,Picture Bride (Bijo photo) (1994),Drama|Romance
303,"Quick and the Dead, The (1995)",Action|Thriller|Western
304,Roommates (1995),Comedy|Drama
305,Ready to Wear (Pret-A-Porter) (1994),Comedy
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
312,Stuart Saves His Family (1995),Comedy
313,"Swan Princess, The (1994)",Animation|Children
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
315,"Specialist, The (1994)",Action|Drama|Thriller
316,Stargate (1994),Action|Adventure|Sci-Fi
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
324,"Sum of Us, The (1994)",Comedy|Drama
326,To Live (Huozhe) (1994),Drama
330,Tales from the Hood (1995),Action|Crime|Horror
334,Vanya on 42nd Street (1994),Drama
335,Underneath (1995),Mystery|Thriller
336,"Walking Dead, The (1995)",Drama|War
339,While You Were Sleeping (1995),Comedy|Romance
341,Double Happiness (1994),Drama
342,Muriel's Wedding (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,Backbeat (1993),Drama|Musical
347,Bitter Moon (1992),Drama|Film-Noir|Romance
348,Bullets Over Broadway (1994),Comedy
350,"Client, The (1994)",Drama|Mystery|Thriller
352,Crooklyn (1994),Comedy|Drama
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
354,Cobb (1994),Drama
358,Higher Learning (1995),Drama
359,I Like It Like That (1994),Comedy|Drama|Romance
361,It Could Happen to You (1994),Comedy|Drama|Romance
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
365,Little Buddha (1993),Drama
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368,Maverick (1994),Adventure|Comedy|Western
369,Mrs. Parker and the Vicious Circle (1994),Drama
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
371,"Paper, The (1994)",Comedy|Drama
373,Red Rock West (1992),Thriller
374,Richie Rich (1994),Children|Comedy
376,"River Wild, The (1994)",Action|Thriller
377,Speed (1994),Action|Romance|Thriller
378,Speechless (1994),Comedy|Romance
379,Timecop (1994),Action|Sci-Fi|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
402,Open Season (1996),Comedy
407,In the Mouth of Madness (1995),Horror|Thriller
409,Above the Rim (1994),Crime|Drama
410,Addams Family Values (1993),Children|Comedy|Fantasy
412,"Age of Innocence, The (1993)",Drama
414,"Air Up There, The (1994)",Comedy
416,Bad Girls (1994),Western
417,Barcelona (1994),Comedy|Romance
423,Blown Away (1994),Action|Thriller
424,Blue Chips (1994),Drama
425,Blue Sky (1994),Drama|Romance
428,"Bronx Tale, A (1993)",Drama
429,Cabin Boy (1994),Comedy
431,Carlito's Way (1993),Crime|Drama
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
437,Cops and Robbersons (1994),Comedy
438,"Cowboy Way, The (1994)",Action|Comedy|Drama
439,Dangerous Game (1993),Drama
443,"Endless Summer 2, The (1994)",Adventure|Documentary
445,Fatal Instinct (1993),Comedy
451,Flesh and Bone (1993),Drama|Mystery|Romance
452,Widows' Peak (1994),Drama
454,"Firm, The (1993)",Drama|Thriller
461,Go Fish (1994),Drama|Romance
463,Guilty as Sin (1993),Crime|Drama|Thriller
465,Heaven & Earth (1993),Action|Drama|War
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
471,"Hudsucker Proxy, The (1994)",Comedy
472,I'll Do Anything (1994),Comedy|Drama
474,In the Line of Fire (1993),Action|Thriller
477,What's Love Got to Do with It? (1993),Drama|Musical
478,Jimmy Hollywood (1994),Comedy|Crime|Drama
482,Killing Zoe (1994),Crime|Drama|Thriller
486,Life with Mikey (1993),Comedy
487,Lightning Jack (1994),Comedy|Western
488,M. Butterfly (1993),Drama|Romance
489,Made in America (1993),Comedy
490,Malice (1993),Thriller
491,"Man Without a Face, The (1993)",Drama
494,Executive Decision (1996),Action|Adventure|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
499,Mr. Wonderful (1993),Comedy|Romance
504,No Escape (1994),Action|Drama|Sci-Fi
505,North (1994),Comedy
506,Orlando (1992),Drama|Fantasy|Romance
511,"Program, The (1993)",Action|Drama
512,"Puppet Masters, The (1994)",Horror|Sci-Fi
513,Radioland Murders (1994),Comedy|Mystery|Romance
514,"Ref, The (1994)",Comedy
516,Renaissance Man (1994),Comedy|Drama
517,Rising Sun (1993),Action|Drama|Mystery
521,Romeo Is Bleeding (1993),Crime|Thriller
524,Rudy (1993),Drama
526,"Savage Nights (Nuits fauves, Les) (1992)",Drama
528,"Scout, The (1994)",Comedy|Drama
529,Searching for Bobby Fischer (1993),Drama
530,Second Best (1994),Drama
531,"Secret Garden, The (1993)",Children|Drama
532,Serial Mom (1994),Comedy|Crime|Horror
534,Shadowlands (1993),Drama|Romance
535,Short Cuts (1993),Drama
536,"Simple Twist of Fate, A (1994)",Drama
537,Sirens (1994),Drama
538,Six Degrees of Separation (1993),Drama
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
540,Sliver (1993),Thriller
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
547,Surviving the Game (1994),Action|Adventure|Thriller
548,Terminal Velocity (1994),Action|Mystery|Thriller
549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
550,Threesome (1994),Comedy|Romance
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
580,Princess Caraboo (1994),Drama
581,"Celluloid Closet, The (1995)",Documentary
582,Métisse (Café au Lait) (1993),Comedy|Drama
583,Dear Diary (Caro Diario) (1994),Comedy|Drama
584,I Don't Want to Talk About It (De eso no se habla) (1993),Drama|Romance
585,"Brady Bunch Movie, The (1995)",Comedy
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Adventure|Drama|Western
591,Tough and Deadly (1995),Action|Drama|Thriller
592,Batman (1989),Action|Crime|Thriller
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
600,Love and a .45 (1994),Action|Comedy|Crime
603,"Bye Bye, Love (1995)",Comedy
605,One Fine Day (1996),Drama|Romance
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
634,Theodore Rex (1995),Comedy
640,Diabolique (1996),Drama|Thriller
641,"Little Indian, Big City (Un indien dans la ville) (1994)",Adventure|Children|Comedy
656,Eddie (1996),Comedy
663,Kids in the Hall: Brain Candy (1996),Comedy
665,Underground (1995),Comedy|Drama|War
666,All Things Fair (Lust och fägring stor) (1995),Drama|Romance|War
696,Butterfly Kiss (1995),Drama|Thriller
697,Feeling Minnesota (1996),Drama|Romance
703,Boys (1996),Drama
